-0.00097,-3.52,-3.56
-0.000969,-3.44,-3.56
-0.000968,-3.44,-3.56
-0.000967,-3.44,-3.56
-0.000966,-3.36,-3.52
-0.000965,-3.36,-3.56
-0.000964,-3.28,-3.56
-0.000963,-3.28,-3.52
-0.000962,-3.28,-3.52
-0.000961,-3.2,-3.52
-0.00096,-3.2,-3.52
-0.000959,-3.12,-3.52
-0.000958,-3.12,-3.48
-0.000957,-3.04,-3.52
-0.000956,-3.04,-3.48
-0.000955,-3.04,-3.48
-0.000954,-2.96,-3.48
-0.000953,-2.96,-3.48
-0.000952,-2.96,-3.48
-0.000951,-2.88,-3.48
-0.00095,-2.88,-3.44
-0.000949,-2.88,-3.44
-0.000948,-2.8,-3.44
-0.000947,-2.8,-3.44
-0.000946,-2.72,-3.4
-0.000945,-2.72,-3.44
-0.000944,-2.64,-3.4
-0.000943,-2.64,-3.4
-0.000942,-2.64,-3.4
-0.000941,-2.56,-3.4
-0.00094,-2.56,-3.36
-0.000939,-2.48,-3.36
-0.000938,-2.48,-3.36
-0.000937,-2.48,-3.36
-0.000936,-2.4,-3.32
-0.000935,-2.32,-3.32
-0.000934,-2.24,-3.32
-0.000933,-2.32,-3.32
-0.000932,-2.24,-3.28
-0.000931,-2.16,-3.28
-0.00093,-2.16,-3.28
-0.000929,-2.16,-3.24
-0.000928,-2.16,-3.24
-0.000927,-2.08,-3.24
-0.000926,-2.08,-3.24
-0.000925,-2,-3.24
-0.000924,-1.92,-3.2
-0.000923,-1.92,-3.2
-0.000922,-1.92,-3.2
-0.000921,-1.84,-3.2
-0.00092,-1.84,-3.16
-0.000919,-1.76,-3.12
-0.000918,-1.76,-3.12
-0.000917,-1.68,-3.12
-0.000916,-1.68,-3.12
-0.000915,-1.6,-3.12
-0.000914,-1.52,-3.08
-0.000913,-1.52,-3.04
-0.000912,-1.52,-3.04
-0.000911,-1.44,-3
-0.00091,-1.44,-3
-0.000909,-1.36,-2.96
-0.000908,-1.36,-2.96
-0.000907,-1.28,-2.96
-0.000906,-1.28,-2.92
-0.000905,-1.2,-2.92
-0.000904,-1.2,-2.92
-0.000903,-1.12,-2.88
-0.000902,-1.12,-2.88
-0.000901,-1.12,-2.84
-0.0009,-1.04,-2.84
-0.000899,-1.04,-2.8
-0.000898,-0.96,-2.8
-0.000897,-0.96,-2.76
-0.000896,-0.88,-2.76
-0.000895,-0.88,-2.76
-0.000894,-0.8,-2.72
-0.000893,-0.72,-2.68
-0.000892,-0.72,-2.68
-0.000891,-0.64,-2.68
-0.00089,-0.64,-2.64
-0.000889,-0.56,-2.64
-0.000888,-0.56,-2.6
-0.000887,-0.48,-2.56
-0.000886,-0.48,-2.56
-0.000885,-0.4,-2.52
-0.000884,-0.4,-2.52
-0.000883,-0.32,-2.48
-0.000882,-0.32,-2.48
-0.000881,-0.24,-2.48
-0.00088,-0.24,-2.44
-0.000879,-0.16,-2.4
-0.000878,-0.16,-2.4
-0.000877,0,-2.4
-0.000876,0,-2.36
-0.000875,0,-2.36
-0.000874,0,-2.36
-0.000873,0.08,-2.28
-0.000872,0.16,-2.24
-0.000871,0.16,-2.28
-0.00087,0.24,-2.24
-0.000869,0.24,-2.2
-0.000868,0.24,-2.16
-0.000867,0.32,-2.16
-0.000866,0.32,-2.12
-0.000865,0.4,-2.12
-0.000864,0.4,-2.12
-0.000863,0.48,-2.04
-0.000862,0.48,-2.04
-0.000861,0.56,-2
-0.00086,0.64,-2
-0.000859,0.64,-1.96
-0.000858,0.64,-1.96
-0.000857,0.72,-1.92
-0.000856,0.8,-1.88
-0.000855,0.8,-1.88
-0.000854,0.8,-1.88
-0.000853,0.88,-1.84
-0.000852,0.96,-1.8
-0.000851,0.96,-1.76
-0.00085,0.96,-1.76
-0.000849,1.04,-1.72
-0.000848,1.12,-1.72
-0.000847,1.12,-1.68
-0.000846,1.12,-1.68
-0.000845,1.2,-1.64
-0.000844,1.2,-1.6
-0.000843,1.28,-1.56
-0.000842,1.28,-1.56
-0.000841,1.28,-1.52
-0.00084,1.36,-1.52
-0.000839,1.44,-1.52
-0.000838,1.52,-1.48
-0.000837,1.52,-1.44
-0.000836,1.52,-1.44
-0.000835,1.6,-1.4
-0.000834,1.68,-1.4
-0.000833,1.68,-1.32
-0.000832,1.68,-1.32
-0.000831,1.76,-1.32
-0.00083,1.76,-1.24
-0.000829,1.76,-1.2
-0.000828,1.84,-1.16
-0.000827,1.84,-1.16
-0.000826,1.92,-1.12
-0.000825,1.92,-1.12
-0.000824,2,-1.12
-0.000823,2,-1.08
-0.000822,2.08,-1.08
-0.000821,2.08,-1
-0.00082,2.08,-1
-0.000819,2.16,-0.96
-0.000818,2.24,-0.92
-0.000817,2.24,-0.92
-0.000816,2.24,-0.88
-0.000815,2.32,-0.88
-0.000814,2.32,-0.84
-0.000813,2.4,-0.8
-0.000812,2.4,-0.76
-0.000811,2.48,-0.76
-0.00081,2.48,-0.72
-0.000809,2.56,-0.68
-0.000808,2.56,-0.68
-0.000807,2.64,-0.64
-0.000806,2.64,-0.6
-0.000805,2.72,-0.6
-0.000804,2.72,-0.56
-0.000803,2.72,-0.56
-0.000802,2.8,-0.52
-0.000801,2.72,-0.48
-0.0008,2.8,-0.44
-0.000799,2.8,-0.44
-0.000798,2.88,-0.4
-0.000797,2.96,-0.36
-0.000796,2.96,-0.36
-0.000795,3.04,-0.32
-0.000794,3.04,-0.28
-0.000793,3.04,-0.24
-0.000792,3.12,-0.24
-0.000791,3.12,-0.2
-0.00079,3.12,-0.16
-0.000789,3.2,-0.16
