Tension,ErrTension,Corriente,ErrCorriente,,
4,0.0224,0.3,0.2003,,
3.6,0.02216,2.9,0.2029,,
3.2,0.02192,2.8,0.2028,,
2.8,0.02168,2.7,0.2027,,
2.4,0.02144,2.6,0.2026,,
2,0.0212,2.5,0.2025,,
1.6,0.02096,2.4,0.2024,,
1.2,0.02072,2.3,0.2023,,
0.8,0.02048,2.2,0.2022,,
0.4,0.02024,2.1,0.2021,,
