Channel 1,Channel 2,Channel 3
0.000028,4.829000,1.285000
0.000928,4.892000,1.544000
0.001828,4.643000,1.735000
0.002724,4.721000,1.994000
0.003612,4.907000,1.877000
0.004508,4.907000,2.067000
0.005404,4.883000,2.346000
0.006300,4.863000,2.390000
0.007196,4.966000,2.634000
0.008092,4.966000,2.849000
0.008984,4.985000,3.006000
0.009880,4.985000,3.172000
0.010768,4.985000,3.328000
0.011664,4.995000,3.475000
0.012556,4.995000,3.602000
0.013452,4.995000,3.719000
0.014348,4.995000,3.827000
0.015240,4.995000,3.930000
0.016136,4.995000,4.027000
0.017028,4.995000,4.110000
0.017916,4.990000,4.189000
0.018808,4.995000,4.257000
0.019704,4.995000,4.316000
0.020596,4.995000,4.379000
0.021488,4.995000,4.413000
0.022384,4.995000,4.472000
0.023276,4.995000,4.526000
0.024164,4.995000,4.565000
0.025056,4.995000,4.594000
0.025948,4.995000,4.629000
0.026844,4.995000,4.658000
0.027736,4.995000,4.692000
0.028628,4.995000,4.726000
0.029524,4.995000,4.751000
0.030416,4.995000,4.765000
0.031304,4.995000,4.785000
0.032196,4.995000,4.809000
0.033088,4.995000,4.824000
0.033980,4.995000,4.839000
0.034872,4.995000,4.848000
0.035764,4.995000,4.863000
0.036656,4.995000,4.883000
0.037548,4.995000,4.883000
0.038436,4.995000,4.888000
0.039328,4.995000,4.902000
0.040220,4.995000,4.907000
0.041112,4.995000,4.917000
0.042004,4.995000,4.922000
0.042896,5.000000,4.927000
0.043788,4.995000,4.927000
0.044680,5.000000,4.927000
0.045568,5.000000,4.941000
0.046460,4.995000,4.956000
0.047352,4.995000,4.956000
0.048244,4.995000,4.966000
0.049136,4.995000,4.966000
0.050028,4.995000,4.966000
0.050920,4.995000,4.966000
0.051808,4.995000,4.971000
0.052700,5.000000,4.971000
0.053592,5.000000,4.971000
0.054484,4.995000,4.971000
0.055376,4.995000,4.971000
0.056268,4.995000,4.980000
0.057160,4.995000,4.985000
0.058052,4.995000,4.985000
0.058940,4.995000,4.985000
0.059832,4.995000,4.980000
0.060724,4.995000,4.971000
0.061616,5.000000,4.971000
0.062508,5.000000,4.980000
0.063400,4.995000,4.985000
0.064292,4.995000,4.985000
0.065184,4.995000,4.985000
0.066072,5.000000,4.985000
0.066964,4.995000,4.985000
0.067860,4.995000,4.985000
0.068756,4.995000,5.000000
0.069648,4.995000,4.995000
0.070544,4.995000,4.995000
0.071440,1.295000,4.360000
0.072336,1.095000,4.125000
0.073224,0.450000,3.656000
0.074116,0.899000,3.500000
0.075012,0.621000,3.319000
0.075908,0.239000,3.094000
0.076800,0.068000,2.859000
0.077696,0.161000,2.571000
0.078592,0.054000,2.380000
0.079484,0.000000,2.190000
0.080372,0.000000,1.994000
0.081268,0.000000,1.813000
0.082160,0.000000,1.657000
0.083056,0.000000,1.525000
0.083952,0.000000,1.388000
0.084844,0.000000,1.246000
0.085740,0.000000,1.153000
0.086628,0.000000,1.056000
0.087524,0.000000,0.968000
0.088416,0.000000,0.875000
0.089312,0.000000,0.797000
0.090208,0.000000,0.738000
0.091100,0.000000,0.660000
0.091996,0.000000,0.606000
0.092888,0.000000,0.552000
0.093780,0.000000,0.503000
0.094672,0.000000,0.469000
0.095568,0.000000,0.430000
0.096460,0.000000,0.386000
0.097356,0.000000,0.347000
0.098252,0.000000,0.318000
0.099144,0.000000,0.293000
0.100040,0.000000,0.269000
0.100928,0.000000,0.239000
0.101824,0.000000,0.220000
0.102716,0.000000,0.191000
0.103612,0.000000,0.186000
0.104508,0.000000,0.161000
0.105400,0.000000,0.152000
0.106296,0.000000,0.137000
0.107188,0.000000,0.122000
0.108080,0.000000,0.117000
0.108972,0.000000,0.108000
0.109868,0.000000,0.093000
0.110760,0.000000,0.083000
0.111656,0.000000,0.073000
0.112552,0.000000,0.073000
0.113444,0.000000,0.068000
0.114340,0.000000,0.059000
0.115228,0.000000,0.054000
0.116124,0.000000,0.044000
0.117016,0.000000,0.034000
0.117912,0.000000,0.034000
0.118808,0.000000,0.034000
0.119700,0.000000,0.034000
0.120596,0.000000,0.029000
0.121488,0.000000,0.020000
0.122376,0.000000,0.015000
0.123272,0.000000,0.015000
0.124168,0.000000,0.015000
0.125060,0.000000,0.015000
0.125956,0.000000,0.015000
0.126852,0.000000,0.015000
0.127744,0.000000,0.015000
0.128636,0.000000,0.005000
0.129524,0.000000,0.005000
0.130420,0.000000,0.005000
0.131316,0.000000,0.000000
0.132208,0.000000,0.000000
0.133100,0.000000,0.000000
0.133996,0.000000,0.000000
0.134888,0.000000,0.000000
0.135776,0.000000,0.000000
0.136668,0.000000,0.000000
0.137564,0.000000,0.000000
0.138456,0.000000,0.000000
0.139348,0.000000,0.000000
0.140244,0.000000,0.000000
0.141136,0.000000,0.000000
0.142032,0.000000,0.000000
0.000028,4.360000,1.153000
0.000928,4.785000,1.129000
0.001828,4.643000,1.735000
0.002724,4.316000,1.720000
0.003620,4.570000,2.429000
0.004516,4.927000,1.975000
0.005404,4.922000,2.248000
0.006300,4.971000,2.517000
0.007196,4.971000,2.620000
0.008092,4.985000,2.830000
0.008988,4.985000,3.001000
0.009884,4.985000,3.187000
0.010776,4.985000,3.319000
0.011672,4.985000,3.470000
0.012560,4.985000,3.597000
0.013452,4.995000,3.715000
0.014348,4.995000,3.827000
0.015244,4.995000,3.925000
0.016136,4.995000,4.027000
0.017032,4.995000,4.101000
0.017924,4.995000,4.184000
0.018820,4.995000,4.252000
0.019704,4.995000,4.316000
0.020600,4.995000,4.379000
0.021492,4.995000,4.438000
0.022388,4.995000,4.477000
0.023280,4.995000,4.516000
0.024172,4.995000,4.565000
0.025068,4.995000,4.604000
0.025960,4.995000,4.643000
0.026848,4.995000,4.673000
0.027740,4.995000,4.697000
0.028636,4.995000,4.721000
0.029528,4.995000,4.746000
0.030420,4.995000,4.765000
