Channel 1,Channel 2,Channel 3
0.000028,4.340000,1.153000
0.000372,4.541000,1.369000
0.000720,4.809000,1.388000
0.001064,4.413000,2.195000
0.001404,4.829000,1.950000
0.001752,4.868000,2.023000
0.002092,4.956000,2.307000
0.002432,4.932000,2.248000
0.002780,4.941000,2.439000
0.003120,4.966000,2.586000
0.003460,4.980000,2.796000
0.003804,4.966000,2.972000
0.004144,4.971000,3.094000
0.004484,4.985000,3.245000
0.004828,4.980000,3.377000
0.005168,4.985000,3.485000
0.005508,4.985000,3.602000
0.005852,4.985000,3.715000
0.006192,4.985000,3.807000
0.006528,4.985000,3.900000
0.006876,4.985000,3.988000
0.007212,4.985000,4.057000
0.007552,4.990000,4.135000
0.007896,4.995000,4.198000
0.008236,4.995000,4.257000
0.008576,4.995000,4.316000
0.008920,4.990000,4.370000
0.009256,4.990000,4.409000
0.009596,4.995000,4.453000
0.009940,4.995000,4.497000
0.010276,4.995000,4.531000
0.010616,4.995000,4.570000
0.010960,4.995000,4.604000
0.011296,4.995000,4.629000
0.011636,4.995000,4.658000
0.011980,4.995000,4.692000
0.012316,4.995000,4.707000
0.012656,4.995000,4.726000
0.013000,4.995000,4.756000
0.013340,4.995000,4.765000
0.013676,4.995000,4.785000
0.014020,4.995000,4.809000
0.014360,4.995000,4.814000
0.014696,4.995000,4.829000
0.015040,4.995000,4.848000
0.015380,4.995000,4.863000
0.015716,4.995000,4.863000
0.016060,4.995000,4.883000
0.016400,4.995000,4.883000
0.016736,4.995000,4.888000
0.017080,4.995000,4.907000
0.017416,4.995000,4.912000
0.017756,4.995000,4.917000
0.018096,4.995000,4.927000
0.018436,4.995000,4.927000
0.018772,4.995000,4.927000
0.019116,4.995000,4.932000
0.019452,4.995000,4.941000
0.019788,4.995000,4.941000
0.020132,4.995000,4.941000
0.020468,4.995000,4.966000
0.020804,4.995000,4.956000
0.021148,4.995000,4.966000
0.021488,4.995000,4.966000
0.021824,4.995000,4.966000
0.022168,4.995000,4.966000
0.022504,4.995000,4.971000
0.022840,4.995000,4.966000
0.023184,4.995000,4.966000
0.023520,4.995000,4.971000
0.023856,4.995000,4.971000
0.024200,4.995000,4.971000
0.024536,4.995000,4.985000
0.024876,4.995000,4.980000
0.025216,4.995000,4.971000
0.025556,4.995000,4.985000
0.025892,4.995000,4.985000
0.026236,4.995000,4.971000
0.026572,4.995000,4.985000
0.026908,4.995000,4.985000
0.027256,0.899000,4.726000
0.027592,1.109000,4.159000
0.027932,1.320000,4.110000
0.028276,0.797000,3.690000
0.028612,0.973000,3.250000
0.028952,0.117000,3.162000
0.029296,0.186000,3.025000
0.029632,0.225000,2.776000
0.029968,0.274000,2.620000
