Channel 1,Channel 2,Channel 3
0.002376,4.966000,3.680000
0.002492,4.980000,3.768000
0.002608,4.985000,3.847000
0.002720,4.985000,3.915000
0.002836,4.980000,3.988000
0.002952,4.985000,4.047000
0.003068,4.985000,4.101000
0.003188,4.985000,4.159000
0.003304,4.985000,4.223000
0.003416,4.985000,4.257000
0.003532,4.985000,4.316000
0.003648,4.985000,4.360000
0.003764,4.985000,4.394000
0.003876,4.985000,4.438000
0.003992,4.985000,4.472000
0.004108,4.985000,4.497000
0.004228,4.985000,4.531000
0.004344,4.990000,4.555000
0.004456,4.990000,4.589000
0.004572,4.985000,4.614000
0.004684,4.985000,4.633000
0.004800,4.995000,4.658000
0.004912,4.995000,4.692000
0.005028,4.985000,4.707000
0.005140,4.995000,4.721000
0.005260,4.985000,4.731000
0.005376,4.995000,4.751000
0.005488,4.995000,4.765000
0.005604,4.995000,4.785000
0.005716,4.995000,4.800000
0.005832,4.995000,4.809000
0.005944,4.995000,4.829000
0.006060,4.995000,4.839000
0.006172,4.995000,4.848000
0.006292,4.990000,4.848000
0.006408,4.995000,4.853000
0.006524,4.995000,4.863000
0.006636,4.995000,4.878000
0.006752,4.995000,4.883000
0.006864,4.995000,4.888000
0.006980,4.995000,4.902000
0.007092,4.995000,4.907000
0.007208,4.995000,4.907000
0.007328,4.995000,4.917000
0.007440,4.995000,4.922000
0.007556,4.995000,4.927000
0.007668,4.995000,4.927000
0.007784,4.995000,4.932000
0.007896,4.995000,4.941000
0.008012,4.995000,4.941000
0.008128,4.995000,4.941000
0.008240,4.995000,4.946000
0.008360,4.995000,4.956000
0.008472,4.995000,4.956000
0.008588,4.995000,4.956000
0.008700,4.995000,4.956000
0.008812,4.995000,4.966000
0.008928,4.995000,4.966000
0.009040,4.995000,4.966000
0.009156,4.995000,4.966000
0.009276,0.924000,4.692000
0.009392,0.718000,4.448000
0.009504,0.797000,4.120000
0.009620,1.285000,3.905000
0.009732,0.655000,3.631000
0.009848,1.100000,3.456000
0.009960,0.386000,3.236000
0.010076,0.743000,3.065000
0.010188,0.137000,2.884000
0.010304,0.371000,2.717000
0.010416,0.034000,2.507000
0.010532,0.034000,2.380000
0.010644,0.034000,2.243000
0.010760,0.073000,2.107000
0.010872,0.029000,1.970000
0.010984,0.034000,1.843000
0.011100,0.015000,1.735000
0.011212,0.029000,1.623000
0.011328,0.015000,1.525000
0.011440,0.015000,1.422000
0.011556,0.015000,1.334000
0.011668,0.005000,1.246000
0.011784,0.005000,1.173000
0.011896,0.005000,1.100000
0.012008,0.005000,1.031000
0.012124,0.000000,0.973000
0.012236,0.005000,0.904000
0.012352,0.000000,0.855000
0.012464,0.000000,0.797000
0.012580,0.005000,0.743000
0.012692,0.000000,0.699000
0.012808,0.000000,0.660000
0.012920,0.000000,0.616000
0.013032,0.000000,0.582000
0.013148,0.000000,0.543000
0.013260,0.000000,0.503000
0.013376,0.000000,0.474000
0.013488,0.000000,0.450000
0.013604,0.000000,0.420000
0.013716,0.000000,0.386000
0.013832,0.000000,0.367000
0.013944,0.000000,0.342000
0.014056,0.000000,0.318000
0.014172,0.000000,0.303000
0.014284,0.000000,0.279000
0.014400,0.000000,0.264000
0.014512,0.000000,0.249000
0.014628,0.000000,0.235000
0.014740,0.000000,0.215000
0.014856,0.000000,0.191000
0.014968,0.000000,0.191000
0.015080,0.000000,0.171000
0.015196,0.000000,0.161000
0.015308,0.000000,0.152000
0.015424,0.000000,0.147000
