Channel 1,Channel 2,Channel 3
0.000028,4.360000,1.153000
0.000572,4.550000,1.388000
0.001120,4.746000,1.559000
0.001660,4.927000,2.107000
0.002208,4.682000,2.263000
0.002748,4.883000,2.028000
0.003292,4.907000,2.219000
0.003832,4.966000,2.312000
0.004380,4.966000,2.537000
0.004920,4.971000,2.717000
0.005464,4.971000,2.908000
0.006008,4.966000,3.089000
0.006548,4.980000,3.245000
0.007092,4.971000,3.368000
0.007632,4.985000,3.514000
0.008176,4.995000,3.631000
0.008716,4.985000,3.754000
0.009260,4.985000,3.837000
0.009796,4.990000,3.939000
0.010344,4.995000,4.027000
0.010880,4.985000,4.101000
0.011424,4.995000,4.184000
0.011964,4.995000,4.252000
0.012508,4.995000,4.301000
0.013044,4.995000,4.360000
0.013588,4.995000,4.413000
0.014128,4.995000,4.453000
0.014672,4.990000,4.501000
0.015216,4.995000,4.541000
0.015756,4.995000,4.575000
0.016300,4.995000,4.614000
0.016836,4.995000,4.653000
0.017380,4.995000,4.673000
0.017916,4.995000,4.697000
0.018460,4.995000,4.721000
0.018996,4.995000,4.736000
0.019540,4.995000,4.765000
0.020076,4.995000,4.775000
0.020620,4.995000,4.809000
0.021156,4.995000,4.814000
0.021700,4.995000,4.829000
0.022236,4.995000,4.848000
0.022780,4.995000,4.853000
0.023316,4.995000,4.868000
0.023860,4.995000,4.883000
0.024396,4.995000,4.888000
0.024940,4.995000,4.902000
0.025484,4.995000,4.907000
0.026020,4.995000,4.917000
0.026564,4.995000,4.927000
0.027100,4.995000,4.927000
0.027644,4.995000,4.932000
0.028180,4.995000,4.932000
0.028724,4.995000,4.941000
0.029260,4.995000,4.941000
0.029804,4.995000,4.956000
0.030340,4.995000,4.956000
0.030884,4.995000,4.966000
0.031420,4.995000,4.966000
0.031964,5.000000,4.966000
0.032500,4.995000,4.966000
0.033044,4.995000,4.966000
0.033580,4.995000,4.966000
0.034124,4.995000,4.971000
0.034664,4.995000,4.971000
0.035200,4.995000,4.971000
0.035744,4.995000,4.971000
0.036280,4.995000,4.971000
0.036820,4.995000,4.971000
0.037356,4.995000,4.971000
0.037900,4.995000,4.980000
0.038436,4.995000,4.980000
0.038980,5.000000,4.985000
0.039516,5.000000,4.985000
0.040056,5.000000,4.985000
0.040592,4.995000,4.985000
0.041136,4.995000,4.985000
0.041672,5.000000,4.985000
0.042216,4.995000,4.985000
0.042752,4.995000,4.990000
0.043296,1.022000,4.643000
0.043832,1.369000,4.438000
0.044376,1.012000,3.822000
0.044920,0.640000,3.705000
0.045456,0.938000,3.201000
0.046000,0.430000,3.123000
0.046536,0.591000,2.947000
0.047080,0.137000,2.674000
0.047616,0.015000,2.468000
0.048160,0.015000,2.283000
0.048696,0.034000,2.092000
0.049240,0.005000,1.921000
0.049776,0.015000,1.779000
0.050316,0.000000,1.623000
0.050856,0.000000,1.486000
0.051396,0.000000,1.369000
0.051936,0.000000,1.246000
0.052476,0.000000,1.153000
0.053012,0.000000,1.056000
0.053556,0.000000,0.973000
0.054092,0.000000,0.890000
0.054636,0.000000,0.816000
0.055180,0.000000,0.743000
0.055716,0.000000,0.684000
0.056260,0.000000,0.621000
0.056796,0.000000,0.582000
0.057340,0.000000,0.528000
0.057876,0.000000,0.484000
0.058420,0.000000,0.450000
0.058956,0.000000,0.406000
0.059500,0.000000,0.371000
0.060036,0.000000,0.347000
0.060580,0.000000,0.308000
0.061116,0.000000,0.293000
0.061656,0.000000,0.269000
0.062196,0.000000,0.239000
0.062736,0.000000,0.225000
0.063276,0.000000,0.200000
0.063816,0.000000,0.186000
0.064360,0.000000,0.171000
0.064896,0.000000,0.152000
0.065440,0.000000,0.147000
0.065976,0.000000,0.122000
0.066520,0.000000,0.117000
0.067060,0.000000,0.112000
0.067604,0.000000,0.093000
0.068144,0.000000,0.093000
0.068688,0.000000,0.078000
0.069224,0.000000,0.073000
0.069768,0.000000,0.068000
0.070308,0.000000,0.059000
0.070852,0.000000,0.059000
0.071392,0.000000,0.054000
0.071936,0.000000,0.034000
0.072476,0.000000,0.034000
0.073020,0.000000,0.034000
0.073556,0.000000,0.034000
0.074100,0.000000,0.034000
0.074648,0.000000,0.029000
0.075184,0.000000,0.020000
0.075728,0.000000,0.020000
0.076268,0.000000,0.015000
0.076812,0.000000,0.015000
0.077352,0.000000,0.015000
0.077896,0.000000,0.015000
0.078432,0.000000,0.005000
0.078980,0.000000,0.015000
0.079516,0.000000,0.005000
0.080060,0.000000,0.005000
0.080600,0.000000,0.005000
0.081144,0.000000,0.005000
0.081684,0.000000,0.000000
0.082228,0.000000,0.000000
0.082764,0.000000,0.000000
0.083312,0.000000,0.000000
0.083856,0.000000,0.000000
0.084392,0.000000,0.000000
0.084936,0.000000,0.000000
0.085476,0.000000,0.000000
0.086020,0.000000,0.000000
0.000028,4.629000,0.865000
0.000572,4.413000,1.525000
0.001120,4.203000,1.422000
0.001668,4.575000,2.111000
0.002208,4.692000,2.263000
0.002752,4.941000,2.439000
0.003292,4.726000,2.111000
0.003840,4.883000,2.493000
0.004380,4.883000,2.517000
0.004924,4.927000,2.717000
0.005464,4.971000,2.908000
0.006008,4.985000,3.089000
0.006548,4.985000,3.245000
0.007092,4.985000,3.368000
0.007632,4.985000,3.500000
0.008180,4.985000,3.631000
0.008720,4.985000,3.754000
0.009264,4.985000,3.837000
0.009800,4.985000,3.930000
0.010344,4.995000,4.027000
0.010888,4.995000,4.101000
0.011428,4.995000,4.174000
0.011972,4.995000,4.238000
