Channel 1,Channel 2,Channel 3
0.000028,4.809000,1.310000
0.000220,4.863000,1.466000
0.000412,4.785000,1.310000
0.000604,4.888000,1.970000
0.000804,4.301000,1.735000
0.000996,4.907000,2.405000
0.001188,4.765000,2.292000
0.001380,4.834000,2.307000
0.001568,4.883000,2.346000
0.001768,4.966000,2.463000
0.001960,4.932000,2.595000
0.002148,4.941000,2.737000
0.002340,4.941000,2.889000
0.002528,4.941000,2.986000
0.002724,4.966000,3.123000
0.002916,4.966000,3.245000
0.003104,4.971000,3.363000
0.003296,4.971000,3.475000
0.003484,4.985000,3.573000
0.003676,4.985000,3.666000
0.003872,4.985000,3.754000
0.004060,4.985000,3.827000
0.004252,4.985000,3.905000
0.004440,4.985000,3.988000
0.004632,4.985000,4.047000
0.004824,4.985000,4.110000
0.005016,4.985000,4.184000
0.005204,4.985000,4.223000
0.005392,4.985000,4.282000
0.005580,4.985000,4.316000
0.005776,4.985000,4.370000
0.005964,4.985000,4.413000
0.006152,4.985000,4.453000
0.006344,4.995000,4.487000
0.006532,4.990000,4.516000
0.006720,4.985000,4.541000
0.006916,4.995000,4.570000
0.007104,4.990000,4.614000
0.007292,4.985000,4.629000
0.007484,4.995000,4.653000
0.007672,4.995000,4.673000
0.007868,4.995000,4.692000
0.008056,4.995000,4.721000
0.008244,4.995000,4.736000
0.008432,4.995000,4.761000
0.008624,4.995000,4.765000
0.008812,4.995000,4.785000
0.009004,4.995000,4.800000
0.009192,4.995000,4.809000
0.009380,4.995000,4.829000
0.009572,4.995000,4.839000
0.009760,4.995000,4.844000
0.009952,4.995000,4.848000
0.010140,4.995000,4.863000
0.010328,4.995000,4.878000
0.010516,4.995000,4.883000
0.010708,4.995000,4.883000
0.010896,4.995000,4.888000
0.011084,4.995000,4.902000
0.011272,4.995000,4.907000
0.011460,4.995000,4.917000
0.011648,4.995000,4.922000
0.011836,4.995000,4.922000
0.012032,4.995000,4.927000
0.012220,4.995000,4.927000
0.012408,4.995000,4.941000
0.012596,4.995000,4.941000
0.012784,4.995000,4.941000
0.012980,4.995000,4.941000
0.013168,4.995000,4.941000
0.013356,4.995000,4.956000
0.013544,4.995000,4.966000
0.013732,4.995000,4.966000
0.013920,4.995000,4.966000
