time,V(vout),V(n001)
0.000000000000000e+000,1.342310e+000,-2.538481e-003
2.670983213787920e-007,1.281689e+000,8.140167e-002
5.723535458114493e-007,1.223404e+000,1.773067e-001
1.182863994676764e-006,1.138321e+000,3.688711e-001
2.403884892409128e-006,1.057663e+000,7.500091e-001
4.072241809023255e-006,1.084719e+000,1.263045e+000
5.843644630200082e-006,1.251450e+000,1.792299e+000
7.843644630200347e-006,1.559135e+000,2.362714e+000
9.843644630200613e-006,1.942340e+000,2.895749e+000
1.184364463020088e-005,2.364982e+000,3.383029e+000
1.384364463020114e-005,2.797170e+000,3.816893e+000
1.584364463020141e-005,3.216563e+000,4.190511e+000
1.784364463020167e-005,3.606167e+000,4.498002e+000
1.984364463020194e-005,3.952892e+000,4.734521e+000
2.184364463020221e-005,4.246618e+000,4.896345e+000
2.384364463020247e-005,4.479591e+000,4.980924e+000
2.584364463020274e-005,4.646039e+000,4.986925e+000
2.784364463020300e-005,4.741923e+000,4.914256e+000
2.984364463020327e-005,4.764771e+000,4.764062e+000
3.184364463020353e-005,4.713569e+000,4.538715e+000
3.384364463020380e-005,4.588674e+000,4.241768e+000
3.584364463020406e-005,4.391740e+000,3.877906e+000
3.784364463020433e-005,4.125649e+000,3.452865e+000
3.984364463020459e-005,3.794437e+000,2.973351e+000
4.184364463020486e-005,3.403205e+000,2.446927e+000
4.384364463020513e-005,2.958030e+000,1.881896e+000
4.584364463020539e-005,2.465862e+000,1.287172e+000
4.809364463020591e-005,1.872658e+000,5.943230e-001
4.859364463020641e-005,1.732346e+000,4.382593e-001
4.959364463020567e-005,1.459953e+000,1.251164e-001
5.052798537674187e-005,1.226476e+000,-1.633714e-001
5.054827032989831e-005,1.222174e+000,-1.697428e-001
5.083225967407977e-005,1.173980e+000,-2.589114e-001
5.115681892457237e-005,1.130060e+000,-3.607088e-001
5.180593742555757e-005,1.073590e+000,-5.637874e-001
5.310417442752971e-005,1.050354e+000,-9.667051e-001
5.497925808006267e-005,1.158049e+000,-1.536429e+000
5.681457026525394e-005,1.388682e+000,-2.073328e+000
5.881457026525420e-005,1.739426e+000,-2.626682e+000
6.081457026525447e-005,2.146198e+000,-3.138510e+000
6.281457026525474e-005,2.576740e+000,-3.600767e+000
6.481457026525500e-005,3.005175e+000,-4.006180e+000
6.681457026525527e-005,3.411987e+000,-4.348368e+000
6.881457026525553e-005,3.782225e+000,-4.621943e+000
7.081457026525580e-005,4.104337e+000,-4.822594e+000
7.281457026525606e-005,4.372589e+000,-4.947162e+000
7.443107656787511e-005,4.541594e+000,-4.990863e+000
7.628846557875685e-005,4.676638e+000,-4.977542e+000
7.828846557875711e-005,4.755156e+000,-4.887488e+000
8.028846557875738e-005,4.761547e+000,-4.720333e+000
8.228846557875764e-005,4.693859e+000,-4.478713e+000
8.428846557875791e-005,4.552740e+000,-4.166440e+000
8.628846557875818e-005,4.340124e+000,-3.788439e+000
