 Vrc 1; Vrc 1 err;Vce 1;Vce 1 err;Ic 1;Ic 1 err; Vrc 2; Vrc 2 err;Vce 2;Vce 2 err;Ic 2;Ic 2 err; Vrc 3; Vrc 3 err;Vce 3;Vce 3 err;Ic 3;Ic 3 err
;;;;;;2.6;0.033;1.27;0.01635;0.00220339;3.3627E-05;0.14;0.0027;0.0499;0.0005992;0.000118644;2.4993E-06
;;;;;;2.6;0.033;1.46;0.0173;0.00220339;3.3627E-05;0.053;0.000359;0.0359;0.0004872;4.49153E-05;4.87284E-07
;;;;;;;;;;;;4.17;0.04085;0.186;0.001688;0.003533898;4.5775E-05
;;;;;;;;;;;;4.46;0.0423;0.2025;0.00182;0.003779661;4.80731E-05
;;;;;;;;;;;;4.76;0.0438;0.2094;0.0018752;0.004033898;5.04623E-05
;;;;;;;;;;;;5.05;0.04525;0.2181;0.0019448;0.004279661;5.27818E-05
;;;;;;;;;;;;5.34;0.0467;0.229;0.002032;0.004525424;5.51097E-05
;;;;;;;;;;;;5.62;0.0481;0.2415;0.002132;0.004762712;5.73645E-05
;;;;;;;;;;;;5.81;0.04905;0.2554;0.0022432;0.004923729;5.88981E-05
;;;;;;;;;;;;6.08;0.0504;0.2815;0.002452;0.005152542;6.10818E-05
;;;;;;;;;;;;6.28;0.0514;0.397;0.002985;0.005322034;6.27025E-05
;;;;;;;;;;;;6.3;0.0515;0.555;0.003775;0.005338983;6.28647E-05
;;;;;;;;;;;;6.32;0.0516;0.633;0.004165;0.005355932;6.30269E-05
;;;;;;;;;;;;6.36;0.0518;0.88;0.0054;0.005389831;6.33515E-05
;;;;;;;;;;;;6.42;0.0521;1.116;0.009128;0.005440678;6.38384E-05
;;;;;;;;;;;;6.45;0.05225;1.395;0.01136;0.005466102;6.4082E-05
;;;;;;;;;;;;6.52;0.0526;1.62;0.01316;0.005525424;6.46505E-05
;;;;;;;;;;;;6.57;0.05285;1.869;0.015152;0.005567797;6.50567E-05
;;;;;;;;;;;;6.62;0.0531;2.009;0.016272;0.005610169;6.54631E-05
;;;;;;;;;;;;6.67;0.05335;2.269;0.018352;0.005652542;6.58696E-05
;;;;;;;;;;;;6.71;0.05355;2.523;0.020384;0.005686441;6.61949E-05
;;;;;;;;;;;;6.73;0.05365;2.807;0.022656;0.00570339;6.63575E-05
;;;;;;;;;;;;6.75;0.05375;2.891;0.023328;0.005720339;6.65202E-05
;;;;;;;;;;;;6.77;0.05385;3.075;0.0248;0.005737288;6.6683E-05
;;;;;;;;;;;;6.92;0.0546;3.025;0.0244;0.005864407;6.7904E-05
;;;;;;;;;;;;7.03;0.05515;3.899;0.031392;0.005957627;6.88001E-05
;;;;;;;;;;;;7.11;0.05555;4.83;0.03415;0.006025424;6.94521E-05
;;;;;;;;;;;;7.25;0.05625;5.7;0.0385;0.006144068;7.05939E-05
;;;;;;;;;;;;7.4;0.057;6.55;0.04275;0.006271186;7.18181E-05
;;;;;;;;;;;;7.58;0.0579;7.34;0.0467;0.006423729;7.32884E-05
