Channel 1,Channel 2,Channel 3
0.000028,4.736000,0.743000
0.000676,4.550000,1.403000
0.001324,4.736000,1.579000
0.001968,4.922000,2.116000
0.002612,4.692000,2.283000
0.003260,4.697000,2.439000
0.003900,4.907000,2.224000
0.004544,4.917000,2.429000
0.005188,4.902000,2.546000
0.005828,4.971000,2.796000
0.006476,4.985000,2.952000
0.007112,4.980000,3.109000
0.007760,4.971000,3.280000
0.008404,4.985000,3.407000
0.009044,4.985000,3.548000
0.009688,4.985000,3.656000
0.010332,4.985000,3.768000
0.010968,4.985000,3.871000
0.011612,4.995000,3.969000
0.012252,4.995000,4.057000
0.012896,4.995000,4.135000
0.013540,4.990000,4.203000
0.014180,4.995000,4.277000
0.014824,4.995000,4.340000
0.015468,4.995000,4.384000
0.016104,4.990000,4.448000
0.016752,4.995000,4.487000
0.017388,4.995000,4.531000
0.018032,4.995000,4.570000
0.018672,4.995000,4.604000
0.019312,4.995000,4.643000
0.019952,4.995000,4.658000
0.020596,4.995000,4.692000
0.021232,4.995000,4.726000
0.021876,4.995000,4.731000
0.022512,4.995000,4.765000
0.023156,4.995000,4.775000
0.023800,4.995000,4.809000
0.024436,4.995000,4.814000
0.025080,4.995000,4.829000
0.025724,4.995000,4.848000
0.026360,4.995000,4.853000
0.027004,4.995000,4.863000
0.027640,4.995000,4.883000
0.028284,4.995000,4.883000
0.028928,4.995000,4.883000
0.029564,4.995000,4.902000
0.030208,4.995000,4.907000
0.030848,5.000000,4.917000
0.031488,4.995000,4.927000
0.032128,4.995000,4.927000
0.032768,5.000000,4.932000
0.033408,4.995000,4.941000
0.034052,4.995000,4.941000
0.034688,4.995000,4.956000
0.035328,4.995000,4.956000
0.035972,4.995000,4.966000
0.036608,4.995000,4.966000
0.037248,4.995000,4.966000
0.037888,4.995000,4.966000
0.038528,4.995000,4.966000
0.039172,4.995000,4.971000
0.039808,4.995000,4.971000
0.040448,4.995000,4.971000
0.041092,4.995000,4.980000
0.041728,4.995000,4.985000
0.042372,4.995000,4.985000
0.043008,4.995000,4.985000
0.043648,5.000000,4.985000
0.044292,4.995000,4.985000
0.044928,4.995000,4.985000
0.045568,4.995000,4.985000
0.046212,4.995000,4.985000
0.046848,4.995000,4.985000
0.047492,4.995000,4.985000
0.048128,4.995000,4.985000
0.048768,4.995000,4.985000
0.049412,4.995000,4.985000
0.050048,4.995000,4.985000
0.050688,4.995000,4.985000
0.051336,0.743000,4.829000
0.051972,0.679000,4.413000
0.052616,1.012000,3.807000
0.053252,0.239000,3.514000
0.053896,0.499000,3.402000
0.054540,0.117000,3.006000
0.055176,0.059000,2.810000
0.055820,0.083000,2.654000
0.056464,0.015000,2.463000
0.057100,0.015000,2.258000
0.057744,0.015000,2.048000
0.058380,0.000000,1.882000
0.059024,0.000000,1.725000
0.059664,0.000000,1.579000
0.060304,0.000000,1.442000
0.060944,0.000000,1.325000
0.061588,0.000000,1.217000
0.062224,0.000000,1.114000
0.062868,0.000000,1.022000
0.063504,0.000000,0.938000
0.064148,0.000000,0.860000
0.064792,0.000000,0.777000
0.065428,0.000000,0.718000
0.066072,0.000000,0.660000
0.066716,0.000000,0.606000
0.067356,0.000000,0.547000
0.068000,0.000000,0.503000
0.068636,0.000000,0.459000
0.069284,0.000000,0.425000
0.069928,0.000000,0.386000
0.070564,0.000000,0.347000
0.071208,0.000000,0.318000
0.071852,0.000000,0.293000
0.072492,0.000000,0.274000
0.073136,0.000000,0.249000
0.073776,0.000000,0.230000
0.074416,0.000000,0.200000
0.075060,0.000000,0.191000
0.075700,0.000000,0.171000
0.076344,0.000000,0.152000
0.076988,0.000000,0.147000
0.077624,0.000000,0.137000
0.078272,0.000000,0.117000
0.078916,0.000000,0.112000
0.079552,0.000000,0.093000
0.080196,0.000000,0.093000
0.080836,0.000000,0.078000
0.081480,0.000000,0.073000
0.082124,0.000000,0.068000
0.082764,0.000000,0.059000
0.083408,0.000000,0.059000
0.084052,0.000000,0.054000
0.084692,0.000000,0.044000
0.085336,0.000000,0.034000
0.085972,0.000000,0.034000
0.086620,0.000000,0.034000
0.087264,0.000000,0.034000
0.087900,0.000000,0.029000
0.088544,0.000000,0.020000
0.089188,0.000000,0.015000
0.089828,0.000000,0.015000
0.090472,0.000000,0.015000
0.091112,0.000000,0.015000
0.091756,0.000000,0.015000
0.092400,0.000000,0.005000
0.093040,0.000000,0.005000
0.093684,0.000000,0.005000
0.094328,0.000000,0.005000
0.094968,0.000000,0.005000
0.095612,0.000000,0.005000
0.096248,0.000000,0.000000
0.096892,0.000000,0.000000
0.097536,0.000000,0.000000
0.098176,0.000000,0.000000
0.098820,0.000000,0.000000
0.099464,0.000000,0.000000
0.100104,0.000000,0.000000
0.100748,0.000000,0.000000
0.101388,0.000000,0.000000
0.102032,0.000000,0.000000
0.000024,4.736000,0.743000
0.000676,4.125000,1.109000
0.001324,4.629000,1.720000
0.001964,4.707000,1.970000
0.002612,4.413000,1.877000
0.003256,4.570000,1.950000
0.003896,4.927000,2.170000
0.004544,4.844000,2.346000
0.005188,4.902000,2.546000
0.005828,4.966000,2.766000
0.006472,4.985000,2.972000
0.007112,4.985000,3.118000
0.007760,4.985000,3.265000
0.008404,4.971000,3.402000
0.009040,4.985000,3.539000
0.009684,4.985000,3.666000
0.010332,4.995000,3.773000
0.010968,4.985000,3.876000
0.011612,4.985000,3.974000
0.012252,4.985000,4.057000
0.012896,4.995000,4.140000
0.013540,4.990000,4.213000
0.014180,4.995000,4.277000
0.014824,4.995000,4.340000
0.015468,4.990000,4.384000
0.016104,4.995000,4.448000
0.016748,4.995000,4.497000
0.017388,4.995000,4.526000
0.018032,4.995000,4.570000
0.018676,4.995000,4.604000
0.019312,4.995000,4.638000
0.019956,4.995000,4.673000
0.020600,4.995000,4.692000
0.021236,4.995000,4.726000
0.021880,4.995000,4.736000
0.022516,4.995000,4.761000
0.023160,4.995000,4.785000
0.023804,4.995000,4.800000
0.024440,4.995000,4.809000
0.025084,4.995000,4.829000
0.025728,4.995000,4.839000
0.026364,4.995000,4.853000
0.027008,5.000000,4.863000
0.027648,4.995000,4.878000
0.028292,4.995000,4.883000
0.028932,4.995000,4.888000
0.029572,5.000000,4.907000
0.030216,4.995000,4.917000
0.030856,4.995000,4.917000
0.031496,4.995000,4.927000
0.032140,4.995000,4.927000
0.032776,4.995000,4.941000
0.033420,4.995000,4.941000
0.034060,4.995000,4.941000
0.034696,4.995000,4.956000
0.035340,4.995000,4.956000
0.035980,4.995000,4.966000
0.036616,4.995000,4.966000
0.037260,4.995000,4.966000
0.037896,4.995000,4.966000
0.038540,4.995000,4.966000
0.039180,4.995000,4.966000
0.039816,5.000000,4.971000
0.040460,4.995000,4.971000
0.041104,4.995000,4.980000
0.041740,4.995000,4.980000
0.042380,4.995000,4.971000
0.043016,4.995000,4.985000
0.043660,4.995000,4.980000
0.044300,4.995000,4.980000
0.044936,4.995000,4.985000
0.045580,4.995000,4.971000
0.046224,4.995000,4.985000
0.046860,4.995000,4.985000
0.047504,4.995000,4.980000
0.048140,4.995000,4.985000
0.048780,4.995000,4.985000
0.049424,5.000000,4.985000
0.050060,4.995000,4.985000
0.050700,4.995000,4.985000
0.051348,1.173000,4.501000
0.051984,0.816000,4.360000
0.052628,0.875000,3.925000
0.053264,0.499000,3.754000
0.053908,0.147000,3.280000
0.054552,0.684000,3.006000
0.055188,0.191000,2.889000
0.055832,0.122000,2.649000
0.056476,0.098000,2.424000
0.057112,0.029000,2.248000
0.057756,0.015000,2.063000
0.058392,0.000000,1.891000
0.059036,0.000000,1.725000
0.059680,0.000000,1.579000
0.060316,0.000000,1.442000
0.060960,0.000000,1.325000
0.061600,0.000000,1.217000
0.062236,0.000000,1.109000
0.062880,0.000000,1.012000
0.063520,0.000000,0.938000
0.064160,0.000000,0.860000
0.064804,0.000000,0.777000
0.065440,0.000000,0.718000
0.066084,0.000000,0.660000
0.066728,0.000000,0.601000
0.067368,0.000000,0.547000
0.068012,0.000000,0.503000
0.068656,0.000000,0.464000
0.069292,0.000000,0.430000
0.069940,0.000000,0.386000
0.070576,0.000000,0.347000
0.071220,0.000000,0.318000
0.071868,0.000000,0.293000
0.072504,0.000000,0.274000
0.073148,0.000000,0.249000
0.073796,0.000000,0.230000
0.074432,0.000000,0.200000
0.075076,0.000000,0.191000
0.075716,0.000000,0.171000
0.076360,0.000000,0.152000
0.077004,0.000000,0.147000
0.077644,0.000000,0.137000
0.078288,0.000000,0.117000
0.078932,0.000000,0.117000
0.079572,0.000000,0.093000
0.080216,0.000000,0.093000
0.080856,0.000000,0.078000
0.081500,0.000000,0.073000
0.082144,0.000000,0.068000
0.082784,0.000000,0.059000
0.083428,0.000000,0.059000
0.084072,0.000000,0.044000
0.084712,0.000000,0.034000
0.085356,0.000000,0.034000
0.085996,0.000000,0.034000
0.086640,0.000000,0.034000
0.087284,0.000000,0.034000
0.087924,0.000000,0.029000
0.088568,0.000000,0.029000
0.089212,0.000000,0.015000
0.089852,0.000000,0.015000
0.090496,0.000000,0.015000
0.091132,0.000000,0.015000
0.091780,0.000000,0.015000
0.092424,0.000000,0.015000
0.093060,0.000000,0.005000
0.093708,0.000000,0.005000
0.094352,0.000000,0.005000
0.094988,0.000000,0.005000
0.095636,0.000000,0.000000
0.096272,0.000000,0.005000
0.096916,0.000000,0.000000
0.097564,0.000000,0.000000
0.098200,0.000000,0.000000
0.098844,0.000000,0.000000
0.099492,0.000000,0.000000
0.100128,0.000000,0.000000
0.100772,0.000000,0.000000
0.101412,0.000000,0.000000
0.102056,0.000000,0.000000
