Channel 1,Channel 2,Channel 3
0.000028,4.198000,1.295000
0.000328,4.394000,1.369000
0.000620,4.184000,1.373000
0.000912,4.409000,2.170000
0.001204,4.863000,1.799000
0.001500,4.892000,1.891000
0.001792,4.629000,1.994000
0.002080,4.761000,2.170000
0.002376,4.966000,2.439000
0.002664,4.966000,2.546000
0.002956,4.971000,2.766000
0.003248,4.966000,2.889000
0.003544,4.966000,3.050000
0.003832,4.971000,3.172000
0.004124,4.985000,3.319000
0.004416,4.985000,3.441000
0.004704,4.985000,3.548000
0.004992,4.985000,3.656000
0.005280,4.985000,3.754000
0.005576,4.985000,3.847000
0.005864,4.985000,3.925000
0.006156,4.985000,4.003000
0.006444,4.985000,4.081000
0.006740,4.985000,4.140000
0.007028,4.990000,4.213000
0.007316,4.985000,4.267000
0.007612,4.990000,4.330000
0.007900,4.995000,4.379000
0.008188,4.985000,4.413000
0.008480,4.995000,4.453000
0.008772,4.985000,4.497000
0.009060,4.995000,4.531000
0.009348,4.985000,4.570000
0.009644,4.995000,4.604000
0.009932,4.995000,4.629000
0.010220,4.995000,4.653000
0.010508,4.995000,4.682000
0.010800,4.995000,4.707000
0.011088,4.995000,4.726000
0.011376,4.995000,4.736000
0.011672,4.995000,4.765000
0.011960,4.995000,4.775000
0.012248,4.995000,4.790000
0.012536,4.995000,4.809000
0.012832,4.995000,4.829000
0.013120,4.995000,4.839000
0.013408,4.995000,4.848000
0.013700,4.995000,4.853000
0.013988,4.995000,4.863000
0.014276,4.995000,4.868000
0.014564,4.995000,4.878000
0.014860,4.995000,4.883000
0.015148,4.995000,4.902000
0.015436,5.000000,4.907000
0.015732,4.995000,4.907000
0.016020,5.000000,4.917000
0.016308,4.995000,4.927000
0.016596,4.995000,4.927000
0.016888,4.995000,4.932000
0.017176,5.000000,4.941000
0.017460,4.995000,4.941000
0.017756,4.995000,4.941000
0.018044,5.000000,4.946000
0.018328,4.995000,4.966000
0.018616,4.995000,4.956000
0.018908,5.000000,4.966000
0.019196,4.995000,4.966000
0.019484,4.995000,4.966000
0.019776,4.995000,4.966000
0.020060,4.995000,4.966000
0.020348,4.995000,4.971000
0.020636,4.995000,4.966000
0.020928,4.995000,4.971000
0.021216,4.995000,4.985000
0.021504,4.995000,4.985000
0.021792,4.995000,4.980000
0.022084,4.995000,4.985000
0.022372,4.995000,4.985000
0.022656,4.995000,4.985000
0.022952,4.995000,4.985000
0.023244,0.762000,4.814000
0.023532,0.552000,4.027000
0.023820,0.347000,3.876000
0.024112,0.543000,3.827000
0.024400,0.308000,3.280000
0.024688,0.122000,3.201000
0.024984,0.137000,3.089000
0.025272,0.059000,2.796000
0.025560,0.029000,2.639000
0.025844,0.161000,2.483000
0.026140,0.034000,2.283000
0.026428,0.034000,2.111000
0.026716,0.005000,1.960000
0.027008,0.005000,1.828000
0.027296,0.005000,1.681000
0.027584,0.000000,1.559000
0.027872,0.005000,1.442000
0.028168,0.000000,1.334000
0.028456,0.000000,1.246000
0.028744,0.000000,1.153000
0.029036,0.000000,1.061000
0.029324,0.000000,0.973000
0.029612,0.000000,0.919000
0.029900,0.000000,0.841000
0.030192,0.000000,0.777000
0.030480,0.000000,0.718000
0.030768,0.000000,0.660000
0.031064,0.000000,0.621000
0.031352,0.000000,0.577000
0.031640,0.000000,0.528000
0.031928,0.000000,0.489000
0.032220,0.000000,0.459000
0.032508,0.000000,0.425000
0.032796,0.000000,0.386000
0.033088,0.000000,0.357000
0.033372,0.000000,0.327000
0.033660,0.000000,0.308000
0.033948,0.000000,0.288000
0.034240,0.000000,0.264000
0.034528,0.000000,0.239000
0.034812,0.000000,0.225000
0.035100,0.000000,0.210000
0.035392,0.000000,0.191000
0.035680,0.000000,0.171000
0.035968,0.000000,0.161000
0.036260,0.000000,0.152000
0.036548,0.000000,0.137000
0.036836,0.000000,0.132000
0.037120,0.000000,0.117000
0.037416,0.000000,0.117000
0.037700,0.000000,0.098000
0.037988,0.000000,0.093000
0.038280,0.000000,0.083000
0.038568,0.000000,0.073000
0.038856,0.000000,0.073000
0.039140,0.000000,0.068000
0.039436,0.000000,0.059000
0.039720,0.000000,0.059000
0.040008,0.000000,0.059000
0.040300,0.000000,0.044000
0.040588,0.000000,0.034000
0.040876,0.000000,0.034000
0.041164,0.000000,0.034000
0.041456,0.000000,0.034000
0.041740,0.000000,0.034000
0.042028,0.000000,0.029000
0.042320,0.000000,0.029000
0.042608,0.000000,0.020000
0.042896,0.000000,0.015000
0.043184,0.000000,0.015000
0.043476,0.000000,0.015000
0.043764,0.000000,0.015000
0.044048,0.000000,0.015000
0.044336,0.000000,0.015000
0.044628,0.000000,0.015000
0.044916,0.000000,0.005000
0.045204,0.000000,0.005000
0.045496,0.000000,0.005000
0.045784,0.000000,0.005000
0.046068,0.000000,0.005000
0.000028,4.726000,0.743000
0.000320,4.531000,1.369000
0.000620,4.453000,1.799000
0.000912,4.673000,1.906000
0.001204,4.814000,1.945000
0.001500,4.614000,2.439000
0.001792,4.726000,2.439000
0.002084,4.829000,2.463000
0.002380,4.839000,2.361000
0.002668,4.883000,2.537000
0.002960,4.966000,2.717000
0.003248,4.966000,2.889000
0.003544,4.985000,3.050000
0.003836,4.966000,3.196000
0.004124,4.966000,3.314000
0.004416,4.985000,3.441000
0.004708,4.985000,3.558000
0.005000,4.985000,3.656000
0.005288,4.985000,3.754000
0.005584,4.985000,3.847000
0.005872,4.985000,3.925000
0.006160,4.985000,4.003000
0.006452,4.985000,4.081000
0.006744,4.985000,4.140000
0.007036,4.985000,4.213000
0.007324,4.985000,4.267000
0.007620,4.990000,4.330000
0.007908,4.985000,4.379000
0.008196,4.990000,4.413000
0.008484,4.990000,4.453000
0.008780,4.995000,4.497000
0.009068,4.995000,4.531000
0.009356,4.995000,4.565000
0.009652,4.995000,4.604000
0.009940,4.995000,4.629000
0.010228,4.995000,4.653000
0.010516,4.995000,4.682000
0.010808,4.995000,4.707000
0.011100,4.995000,4.721000
0.011388,4.995000,4.736000
0.011680,4.995000,4.765000
0.011968,4.995000,4.775000
0.012256,4.995000,4.785000
0.012544,4.995000,4.809000
0.012840,4.995000,4.829000
0.013128,4.995000,4.839000
0.013416,4.995000,4.848000
0.013712,4.995000,4.853000
0.014000,4.995000,4.878000
0.014288,4.995000,4.878000
0.014576,4.995000,4.883000
0.014868,4.995000,4.902000
0.015160,4.995000,4.907000
0.015448,4.995000,4.907000
0.015740,4.995000,4.917000
0.016028,4.995000,4.927000
0.016316,4.995000,4.927000
0.016604,4.995000,4.927000
0.016900,4.995000,4.941000
0.017188,4.995000,4.941000
0.017476,4.995000,4.941000
0.017768,4.995000,4.941000
0.018056,4.995000,4.966000
0.018344,4.995000,4.966000
0.018628,4.995000,4.966000
0.018924,4.995000,4.966000
0.019212,5.000000,4.966000
0.019496,4.995000,4.966000
0.019788,4.995000,4.966000
0.020072,4.995000,4.966000
0.020360,4.995000,4.980000
0.020648,4.995000,4.971000
0.020944,4.995000,4.971000
0.021228,4.995000,4.980000
0.021516,4.995000,4.985000
0.021804,4.995000,4.971000
0.022096,4.995000,4.971000
0.022384,4.995000,4.985000
0.022672,4.995000,4.985000
0.022964,4.995000,4.980000
0.023256,1.036000,4.629000
0.023544,0.547000,4.027000
0.023832,0.772000,4.081000
0.024128,0.670000,3.788000
0.024416,0.200000,3.402000
0.024704,0.303000,3.319000
0.024996,0.743000,3.089000
0.025284,0.152000,2.849000
0.025572,0.034000,2.620000
0.025860,0.034000,2.468000
0.026156,0.029000,2.283000
0.026444,0.005000,2.111000
0.026732,0.005000,1.970000
0.027024,0.029000,1.813000
0.027312,0.005000,1.681000
0.027600,0.000000,1.559000
0.027888,0.000000,1.442000
0.028184,0.000000,1.334000
0.028472,0.000000,1.241000
0.028760,0.000000,1.153000
0.029052,0.000000,1.056000
0.029340,0.000000,0.973000
0.029628,0.000000,0.904000
0.029916,0.000000,0.841000
0.030212,0.000000,0.777000
0.030500,0.000000,0.718000
0.030788,0.000000,0.660000
0.031080,0.000000,0.621000
0.031368,0.000000,0.577000
0.031656,0.000000,0.528000
0.031944,0.000000,0.489000
0.032240,0.000000,0.450000
0.032528,0.000000,0.425000
0.032816,0.000000,0.386000
0.033108,0.000000,0.347000
0.033396,0.000000,0.327000
0.033684,0.000000,0.308000
0.033968,0.000000,0.279000
0.034264,0.000000,0.269000
0.034548,0.000000,0.239000
0.034836,0.000000,0.230000
0.035124,0.000000,0.210000
0.035416,0.000000,0.191000
0.035704,0.000000,0.171000
0.035992,0.000000,0.161000
0.036284,0.000000,0.152000
0.036572,0.000000,0.142000
0.036860,0.000000,0.122000
