Channel 1,Channel 2,Channel 3
0.000032,4.497000,1.012000
0.000780,4.125000,1.129000
0.001528,4.878000,2.014000
0.002268,4.809000,1.843000
0.003016,4.800000,2.151000
0.003760,4.809000,2.307000
0.004508,4.834000,2.463000
0.005244,4.927000,2.454000
0.005988,4.907000,2.576000
0.006736,4.966000,2.796000
0.007480,4.956000,2.962000
0.008220,4.985000,3.157000
0.008964,4.985000,3.299000
0.009708,4.990000,3.441000
0.010448,4.985000,3.563000
0.011192,4.995000,3.690000
0.011936,4.995000,3.798000
0.012680,4.995000,3.900000
0.013416,4.995000,3.993000
0.014164,4.990000,4.081000
0.014908,4.995000,4.150000
0.015648,4.985000,4.228000
0.016384,4.990000,4.301000
0.017128,4.985000,4.360000
0.017872,4.990000,4.413000
0.018608,4.995000,4.453000
0.019352,4.995000,4.501000
0.020092,4.995000,4.541000
0.020836,4.995000,4.589000
0.021572,4.995000,4.619000
0.022316,4.995000,4.653000
0.023060,4.995000,4.682000
0.023796,4.995000,4.707000
0.024540,4.995000,4.726000
0.025284,4.995000,4.751000
0.026028,4.995000,4.775000
0.026764,4.995000,4.785000
0.027508,4.995000,4.809000
0.028252,4.995000,4.829000
0.028992,4.995000,4.839000
0.029732,4.995000,4.848000
0.030472,4.995000,4.853000
0.031216,4.995000,4.878000
0.031952,5.000000,4.883000
0.032696,5.000000,4.883000
0.033440,4.995000,4.907000
0.034180,4.995000,4.912000
0.034920,4.995000,4.917000
0.035660,4.995000,4.927000
0.036404,4.995000,4.932000
0.037140,4.995000,4.932000
0.037880,4.995000,4.941000
0.038624,4.995000,4.956000
0.039364,4.995000,4.946000
0.040100,4.995000,4.956000
0.040844,5.000000,4.966000
0.041588,5.000000,4.966000
0.042328,4.995000,4.966000
0.043064,4.995000,4.966000
0.043808,4.995000,4.966000
0.044548,4.995000,4.966000
0.045284,4.995000,4.971000
0.046028,4.995000,4.980000
0.046768,4.995000,4.966000
0.047512,4.995000,4.971000
0.048248,4.995000,4.985000
0.048992,4.995000,4.980000
0.049732,4.995000,4.966000
0.050472,5.000000,4.985000
0.051208,5.000000,4.985000
0.051952,5.000000,4.980000
0.052692,5.000000,4.985000
